Source,Target,Weight,Type
Más Allá de Mis Ojeras_Chzter,young_miko_metadata.rda,1,undirected
Mátame Marciana_Chzter,AKA LESBIANA SERPIENTA_SASHA SATHYA,4,undirected
Mátame Marciana_Chzter,CONTIGO_KAROL G,1,undirected
Mátame Marciana_Chzter,Curitas_Chzter,1,undirected
Mátame Marciana_Chzter,Dándote_Cazzu,1,undirected
Mátame Marciana_Chzter,En Esta Boca_Young Miko,1,undirected
Mátame Marciana_Chzter,Estás Que Te Partes_Chocolate Remix,2,undirected
Mátame Marciana_Chzter,Mariposa_Isabella Lovestory,1,undirected
Mátame Marciana_Chzter,young_miko_metadata.rda,2,undirected
Me Doy Cuenta_Valen Etchegoyen,En Esta Boca_Young Miko,1,undirected
Me Doy Cuenta_Valen Etchegoyen,Smoke Break_Young Miko,1,undirected
Me Doy Cuenta_Valen Etchegoyen,Three Now_Valen Etchegoyen,2,undirected
Me Doy Cuenta_Valen Etchegoyen,young_miko_metadata.rda,3,undirected
Muevas las Cachas_Chocolate Remix,AKA LESBIANA SERPIENTA_SASHA SATHYA,2,undirected
Muevas las Cachas_Chocolate Remix,Estás Que Te Partes_Chocolate Remix,1,undirected
Muevas las Cachas_Chocolate Remix,young_miko_metadata.rda,3,undirected
Muñekita_Kali Uchis,Bilingue_Snow Tha Product,3,undirected
Muñekita_Kali Uchis,Butter_Snow Tha Product,1,undirected
Muñekita_Kali Uchis,Hedonismo_Villano Antillano,2,undirected
Muñekita_Kali Uchis,Nieve_Snow Tha Product,2,undirected
Muñekita_Kali Uchis,Riri_Young Miko,3,undirected
Muñekita_Kali Uchis,Stripper Diaries (Skit)_Young Miko,1,undirected
Muñekita_Kali Uchis,Tempo_Young Miko,2,undirected
Muñekita_Kali Uchis,Trending_Young Miko,2,undirected
Muñekita_Kali Uchis,Vendetta_Young Miko,4,undirected
Muñekita_Kali Uchis,young_miko_metadata.rda,3,undirected
Nieve_Snow Tha Product,Hedonismo_Villano Antillano,1,undirected
Nieve_Snow Tha Product,Muñekita_Kali Uchis,2,undirected
Nieve_Snow Tha Product,young_miko_metadata.rda,3,undirected
No Intentes Regresar_Valen Etchegoyen,En Esta Boca_Young Miko,1,undirected
No Intentes Regresar_Valen Etchegoyen,Saturno_Young Miko,6,undirected
No Intentes Regresar_Valen Etchegoyen,young_miko_metadata.rda,2,undirected
Pasajero_Nath,AKA LESBIANA SERPIENTA_SASHA SATHYA,2,undirected
Pasajero_Nath,En Esta Boca_Young Miko,1,undirected
Pasajero_Nath,Es un 10_Gudnana,3,undirected
Pasajero_Nath,Saturno_Young Miko,1,undirected
Pasajero_Nath,young_miko_metadata.rda,3,undirected
Peli-culeo_Cazzu,Castigada_Young Miko,1,undirected
Peli-culeo_Cazzu,Chulo pt.2_Young Miko,1,undirected
Peli-culeo_Cazzu,Condado_Young Miko,4,undirected
Peli-culeo_Cazzu,DISPO_Young Miko,2,undirected
Peli-culeo_Cazzu,Kachipun_Young Miko,3,undirected
Peli-culeo_Cazzu,KLKNTOKI_Nath,1,undirected
Peli-culeo_Cazzu,Labios Mordidos_Kali Uchis & KAROL G,3,undirected
Piña_Snow Tha Product,Chulo pt.2_Young Miko,2,undirected
Piña_Snow Tha Product,Que Le Gusta el Flow_Snow Tha Product,1,undirected
Piña_Snow Tha Product,young_miko_metadata.rda,3,undirected
Pornostar_Chocolate Remix,AKA LESBIANA SERPIENTA_SASHA SATHYA,3,undirected
Pornostar_Chocolate Remix,Como Me Gusta a Mi_Chocolate Remix,1,undirected
Pornostar_Chocolate Remix,Desperte_Chzter,1,undirected
Pornostar_Chocolate Remix,Estás Que Te Partes_Chocolate Remix,1,undirected
Pornostar_Chocolate Remix,Kachipun_Young Miko,2,undirected
Pornostar_Chocolate Remix,Más Allá de Mis Ojeras_Chzter,3,undirected
Pretty Bad Bitch_Young Miko,Chulo pt.2_Young Miko,1,undirected
Pretty Bad Bitch_Young Miko,De Pasajero_Young Miko,2,undirected
Pretty Bad Bitch_Young Miko,ID_Young Miko,5,undirected
Puerto Rican Mami_Young Miko,105 Freestyle_Young Miko,1,undirected
Puerto Rican Mami_Young Miko,De Pasajero_Young Miko,2,undirected
Puerto Rican Mami_Young Miko,young_miko_metadata.rda,3,undirected
Pull Up_Young Miko,105 Freestyle_Young Miko,2,undirected
Pull Up_Young Miko,corpus_metadata.rda,1,undirected
Pull Up_Young Miko,Three Now_Valen Etchegoyen,1,undirected
Pull Up_Young Miko,young_miko_metadata.rda,4,undirected
Putero_Young Miko,Condado_Young Miko,1,undirected
Putero_Young Miko,Kachipun_Young Miko,3,undirected
Putero_Young Miko,young_miko_metadata.rda,2,undirected
QLONA_KAROL G,AKA LESBIANA SERPIENTA_SASHA SATHYA,1,undirected
QLONA_KAROL G,AMG_Gudnana,2,undirected
QLONA_KAROL G,young_miko_metadata.rda,3,undirected
Que Le Gusta el Flow_Snow Tha Product,​​​​​​wiggy_Young Miko,2,undirected
Que Le Gusta el Flow_Snow Tha Product,COLMILLO_Young Miko,1,undirected
Que Le Gusta el Flow_Snow Tha Product,Hedonismo_Villano Antillano,3,undirected
Que Le Gusta el Flow_Snow Tha Product,KLKNTOKI_Nath,2,undirected
Que Le Gusta el Flow_Snow Tha Product,Piña_Snow Tha Product,1,undirected
Que Le Gusta el Flow_Snow Tha Product,young_miko_metadata.rda,2,undirected
Riri_Young Miko,Brinca_Young Miko,2,undirected
Riri_Young Miko,Condado_Young Miko,1,undirected
Riri_Young Miko,Muñekita_Kali Uchis,3,undirected
Sale el Sol_Young Miko,Aprovéchame BB_Young Miko,1,undirected
Sale el Sol_Young Miko,Dándote_Cazzu,2,undirected
Sale el Sol_Young Miko,Deseándote_Nath,3,undirected
SALVAJE_Young Miko,2seater_Young Miko,1,undirected
SALVAJE_Young Miko,8 AM_Young Miko,1,undirected
SALVAJE_Young Miko,Brinca_Young Miko,1,undirected
SALVAJE_Young Miko,FINA_Young Miko,2,undirected
SALVAJE_Young Miko,Lisa_Young Miko,3,undirected
Saturno_Young Miko,105 Freestyle_Young Miko,2,undirected
Saturno_Young Miko,No Intentes Regresar_Valen Etchegoyen,6,undirected
Saturno_Young Miko,Pasajero_Nath,1,undirected
Señorita_Young Miko,Aprovéchame BB_Young Miko,2,undirected
Señorita_Young Miko,Big Booty_Young Miko,1,undirected
Señorita_Young Miko,COLMILLO_Young Miko,3,undirected
Smoke Break_Young Miko,Lick My Pssy_Chzter,2,undirected
Smoke Break_Young Miko,Me Doy Cuenta_Valen Etchegoyen,1,undirected
Smoke Break_Young Miko,young_miko_metadata.rda,3,undirected
Standard_Young Miko,De Pasajero_Young Miko,3,undirected
Standard_Young Miko,Kachipun_Young Miko,1,undirected
Standard_Young Miko,young_miko_metadata.rda,2,undirected
Stripper Diaries (Skit)_Young Miko,Muñekita_Kali Uchis,1,undirected
Stripper Diaries (Skit)_Young Miko,Three Now_Valen Etchegoyen,2,undirected
Stripper Diaries (Skit)_Young Miko,young_miko_metadata.rda,3,undirected
Stripper X_Young Miko,105 Freestyle_Young Miko,2,undirected
Stripper X_Young Miko,Acento_Young Miko,6,undirected
Stripper X_Young Miko,young_miko_metadata.rda,1,undirected
Tempo_Young Miko,Brinca_Young Miko,1,undirected
Tempo_Young Miko,Muñekita_Kali Uchis,2,undirected
Tempo_Young Miko,young_miko_metadata.rda,3,undirected
Three Now_Valen Etchegoyen,AKA LESBIANA SERPIENTA_SASHA SATHYA,1,undirected
Three Now_Valen Etchegoyen,corpus_metadata.rda,2,undirected
